name,latitude,longitude,state,lga,care_level,category,functional_status
Gabchari Health Clinic,11.6155000004,13.6563730001,Borno,Konduga,primary,Primary Health Center,Functional
Ngalimari Health Clinic,11.561992,13.6601259996,Borno,Konduga,primary,Primary Health Center,Functional
Bokko Dispensary,11.0775599999,13.6909299995,Borno,Gwoza,primary,Dispensary,Functional
Ngollam Health Clinic,12.53036,13.6977300002,Borno,Monguno,primary,Primary Health Center,Functional
Maafa Dispensary,12.1082940002,13.698988,Borno,Mafa,primary,Dispensary,Functional
Alla Lawanti Health Clinic,12.2704400004,13.7079300001,Borno,Marte,primary,Primary Health Center,Functional
Mawalli Health Clinic,12.3324599995,13.7220199997,Borno,Marte,primary,Primary Health Center,Functional
Gumnari Dispensary,12.6241999998,13.7287700003,Borno,Monguno,primary,Dispensary,Functional
Wala Health Clinic,11.1578700004,13.73568,Borno,Gwoza,primary,Primary Health Center,Functional
Army Barracks Clinic,11.5484599998,13.7380499996,Borno,Bama,secondary,Military and Paramilitary Clinic,Functional
Mallam Bayeri Health Clinic,12.7695300005,13.7573099996,Borno,Kukawa,primary,Primary Health Center,Functional
Bula Galdaye Health Post,11.7012499997,13.7582700003,Borno,Bama,primary,Dispensary,Functional
Dure Dispensary,11.2178800002,13.7861200002,Borno,Gwoza,primary,Dispensary,Functional
Kimbe Dispensary,11.1812600003,13.7920800003,Borno,Gwoza,primary,Dispensary,Functional
Borsori Health Clinic,12.4777200002,13.8127100003,Borno,Marte,primary,Primary Health Center,Functional
Baga Health Clinic,13.0946100004,13.8212600001,Borno,Kukawa,primary,Primary Health Center,Functional
Badairi Health Clinic,12.5323900004,13.8484399996,Borno,Marte,primary,Primary Health Center,Functional
Arboko Health Clinic,11.14544,13.8560499997,Borno,Gwoza,primary,Primary Health Center,Functional
New Marte Health Clinic,12.2453500003,13.8649399998,Borno,Marte,primary,Primary Health Center,Functional
Ashigashiya Primary Health Center,11.1394199999,13.8695399999,Borno,Gwoza,primary,Primary Health Center,Functional
Ala Health Clinic,12.2078799999,13.8774500003,Borno,Marte,primary,Primary Health Center,Functional
Kirawe General Hospital,11.1978599996,13.9030699997,Borno,Gwoza,secondary,General Hospital,Functional
Kaje Health Clinic,12.15217,13.9088499996,Borno,Marte,primary,Primary Health Center,Functional
Kirawa Dispensary,11.1904599996,13.9100800004,Borno,Gwoza,primary,Dispensary,Functional
Gava Dispensary,11.1861099996,13.9110800001,Borno,Gwoza,primary,Dispensary,Functional
Kashimeri Health Center,11.6065200003,13.9578499999,Borno,Bama,primary,Primary Health Center,Functional
Darjamal Health Clinic,11.3238600002,13.9710999999,Borno,Bama,primary,Primary Health Center,Functional
Kudiye Dispensary,11.9724609999,13.9912589996,Borno,Dikwa,primary,Dispensary,Functional
Jabbari Health Post,11.5390100004,14.0579199999,Borno,Bama,primary,Dispensary,Functional
Mal Maja Health Center,11.9861900003,14.0906900002,Borno,Dikwa,primary,Primary Health Center,Functional
Gulumba Health Center,11.6492900003,14.0976799999,Borno,Bama,primary,Primary Health Center,Functional
Manawaji Dispensary,12.4210099997,14.1282199997,Borno,Ngala,primary,Dispensary,Functional
Andara Health Center,11.3409199998,14.2338700004,Borno,Bama,primary,Primary Health Center,Functional
Wunbi Health Clinic,12.3613090001,14.3585460002,Borno,Kala Balge,primary,Primary Health Center,Functional
Sabkura Health Clinic,12.1058599996,14.4273699999,Borno,Kala Balge,primary,Primary Health Center,Functional
Tilam Health Clinic,12.2982800003,14.4295300004,Borno,Kala Balge,primary,Primary Health Center,Functional
Minsherde Health Clinic,11.9986099997,14.4528900003,Borno,Kala Balge,primary,Primary Health Center,Functional
Gwalam Dispensary,10.4665859998,12.3397610005,Borno,Hawul,primary,Dispensary,Functional
Rann Primary Health Clinic,12.2691100005,14.4621299995,Borno,Kala Balge,primary,Primary Health Center,Functional
Lawanti Primary Health Clinic,11.5868879999,13.4799150002,Borno,Konduga,primary,Primary Health Center,Functional
Dogumba Clinic,11.8831200002,13.3052000005,Borno,Mafa,primary,Primary Health Center,Functional
Monguno Town Dispensary,12.6712699997,13.6167900002,Borno,Monguno,primary,Dispensary,Functional
Bida Dispensary,12.3471699995,13.4545199999,Borno,Monguno,primary,Dispensary,Functional
Wuyo Primary Health Center,10.3837720005,11.695865,Borno,Bayo,primary,Primary Health Center,Functional
