name,latitude,longitude,state,lga,care_level,category,functional_status
Irenodu Primary Health Clinic,8.15917,6.90705,Kogi,Kogi,primary,Primary Health Center,Functional
Adinjere Primary Health Clinic,8.08409,6.80147,Kogi,Kogi,primary,Primary Health Center,Functional
Idu Primary Health Clinic,8.33774,6.88463,Kogi,Kogi,primary,Primary Health Center,Functional
Robomi Primary Health Clinic,8.09637,6.7922,Kogi,Kogi,primary,Primary Health Center,Functional
Adabo Primary Health Clinic,8.28099,6.84149,Kogi,Kogi,primary,Primary Health Center,Functional
Omoko Primary Health Clinic,8.37922,6.92328,Kogi,Kogi,primary,Primary Health Center,Functional
Okpareke Model Primary Health Center,8.04483,6.83964,Kogi,Kogi,primary,Primary Health Center,Functional
Aseni Primary Health Center,8.34611,6.88438,Kogi,Kogi,primary,Primary Health Center,Functional
Usiodumi Primary Health Clinic,8.39061,6.93781,Kogi,Kogi,primary,Primary Health Center,Functional
Ozugbe Primary Health Clinic,8.16037,6.90951,Kogi,Kogi,primary,Primary Health Center,Functional
Serguma Community Primary Health Center Clinic,8.14113,6.89297,Kogi,Kogi,primary,Primary Health Center,Functional
Achara Primary Health Center,8.17601,6.92415,Kogi,Kogi,primary,Primary Health Center,Functional
Edeha Primary Health Clinic,8.06413,6.78303,Kogi,Kogi,primary,Primary Health Center,Functional
Tawari Primary Health Clinic,8.30103,6.85481,Kogi,Kogi,primary,Primary Health Center,Functional
Edegaki Primary Health Clinic,8.02566,6.79222,Kogi,Kogi,primary,Primary Health Center,Functional
Osuku Primary Health Clinic,8.1136,6.85078,Kogi,Kogi,primary,Primary Health Center,Functional
Koton Karfe Family Support Programme Clinic,8.09076,6.80015,Kogi,Kogi,primary,Primary Health Center,Functional
Iraku Primary Health Clinic,8.2437,6.79992,Kogi,Kogi,primary,Primary Health Center,Functional
Edekakpo Primary Health Clinic,8.02603,6.82527,Kogi,Kogi,primary,Primary Health Center,Functional
Tazenyi Primary Health Clinic,8.178,6.92381,Kogi,Kogi,primary,Primary Health Center,Functional
Gbarada Primary Health Clinic,8.00269,6.89311,Kogi,Kogi,primary,Primary Health Center,Functional
Panda Primary Health Clinic,8.15994,6.60865,Kogi,Lokoja,primary,Primary Health Center,Functional
Tanahu Primary Health Center,8.15974,6.90836,Kogi,Kogi,primary,Primary Health Center,Functional
Jamata Primary Health Clinic,8.05352,6.77046,Kogi,Lokoja,primary,Primary Health Center,Functional
Ohigi Primary Health Clinic,8.20836,6.65324,Kogi,Lokoja,primary,Primary Health Center,Functional
Owara Primary Health Clinic,8.09159,6.71628,Kogi,Lokoja,primary,Primary Health Center,Functional
Felele Model Primary Health Center,8.14718,6.68118,Kogi,Lokoja,primary,Primary Health Center,Functional
Mami Primary Health Clinic,8.49093,6.32239,Kogi,Lokoja,primary,Primary Health Center,Functional
Kinami Primary Health Clinic,8.13865,6.68861,Kogi,Lokoja,primary,Primary Health Center,Functional
Oshokoshoko Primary Health Clinic,7.9313,6.34235,Kogi,Lokoja,primary,Primary Health Center,Functional
Eto Primary Health Center,8.14125,6.68499,Kogi,Lokoja,primary,Primary Health Center,Functional
Obajana Primary Health Center,7.91972,6.43437,Kogi,Lokoja,primary,Primary Health Center,Functional
Jakura Primary Health Center,8.14491,6.60331,Kogi,Lokoja,primary,Primary Health Center,Functional
Ayedero Primary Health Care,8.11132,6.01762,Kogi,Ijumu,primary,Primary Health Center,Functional
Ilai Primary Health Care,8.02883,5.82894,Kogi,Mopa-Muro,primary,Primary Health Center,Functional
Efo Amuro Primary Health Care,8.15785,5.89173,Kogi,Mopa-Muro,primary,Primary Health Center,Functional
Ilemo Primary Health Care,8.07207,5.8539,Kogi,Mopa-Muro,primary,Primary Health Center,Functional
Okohi Orokere Primary Health Care,8.15481,5.89363,Kogi,Mopa-Muro,primary,Primary Health Center,Functional
Okeguru Odole Primary Health Care,8.09354,5.89655,Kogi,Mopa-Muro,primary,Primary Health Center,Functional
Ilu Titun Basic Health Center,7.02678887748,4.68622006193,Ondo,Ondo West,primary,Primary Health Center,Functional
Euprime Primary Health Care Center,7.95287,5.8102,Kogi,Mopa-Muro,primary,Primary Health Center,Functional
Ponyan Model Health Center,7.97088,5.71329,Kogi,Yagba East,primary,Primary Health Center,Functional
Oranre Primary Health Care Center,7.877,5.74354,Kogi,Yagba East,primary,Primary Health Center,Functional
Aginmi Primary Health Center,8.03194,5.71084,Kogi,Yagba East,primary,Primary Health Center,Functional
Ogbom Primary Health Care Center,7.95482,5.8769,Kogi,Ijumu,primary,Primary Health Center,Functional
Asala Ta Primary Health Care Center,7.95772,5.8102,Kogi,Mopa-Muro,primary,Primary Health Center,Functional
Bagido Primary Health Care Center,8.26203,5.83663,Kogi,Yagba East,primary,Primary Health Center,Functional
Iyeh Primary Health Care Center,8.36806,5.84569,Kogi,Yagba East,primary,Primary Health Center,Functional
Odo Ogbe Primary Health Care Center,8.34005,5.79557,Kogi,Yagba East,primary,Primary Health Center,Functional
Jege Primary Health Center,8.0581,5.70585,Kogi,Yagba East,primary,Primary Health Center,Functional
Ejuku Basic Health Center,8.05832,5.75433,Kogi,Yagba East,primary,Primary Health Center,Functional
Idofin Primary Health Center,8.26027,5.72187,Kogi,Yagba East,primary,Primary Health Center,Functional
Muye Basic Health Center,8.25244,6.73104,Kogi,Kogi,primary,Primary Health Center,Functional
Epeilo Otukpa Primary Health Center,7.11555,7.59557,Kogi,Olamaboro,primary,Primary Health Center,Functional
Mother and Child Primary Health Care,7.40991,7.63547,Kogi,Ankpa,primary,Primary Health Center,Functional
Enekpoli Primary Health Care,7.45505,7.64631,Kogi,Ankpa,primary,Primary Health Center,Functional
Emekutu Primary Health Care,7.46162,7.50395,Kogi,Ankpa,primary,Primary Health Center,Functional
Ejegbo Primary Health Care,7.42641,7.62248,Kogi,Ankpa,primary,Primary Health Center,Functional
Egbeche Primary Health Care,7.39754,7.60114,Kogi,Ankpa,primary,Primary Health Center,Functional
Abache Primary Health Care,7.38298,7.64773,Kogi,Ankpa,primary,Primary Health Center,Functional
Acharane Primary Health Care,7.31876,7.48591,Kogi,Ankpa,primary,Primary Health Center,Functional
Ojuwo Primary Health Care,7.41598,7.77727,Kogi,Ankpa,primary,Primary Health Center,Functional
Ikah Odokpono Primary Health Care,7.61488,7.65486,Kogi,Ankpa,primary,Primary Health Center,Functional
Emere Primary Health Care,7.45279,7.62866,Kogi,Ankpa,primary,Primary Health Center,Functional
Enelie Primary Health Care,7.52467,7.54611,Kogi,Ankpa,primary,Primary Health Center,Functional
Ogbagbala Primary Health Center,7.48708,7.75634,Kogi,Ankpa,primary,Primary Health Center,Functional
Emanyi Primary Health Center,7.386,7.58637,Kogi,Ankpa,primary,Primary Health Center,Functional
Ilupeju Ijan Basic Health Center,7.57133833333,5.40461,Ekiti,Gbonyin,primary,Primary Health Center,Functional
Ojoku Cottage Hospital,7.42518,7.7163,Kogi,Ankpa,secondary,Cottage Hospital,Functional
Geni Primary Health Center,7.39767,7.63582,Kogi,Ankpa,primary,Primary Health Center,Functional
Okobo Primary Health Center,7.49457,7.69497,Kogi,Ankpa,primary,Primary Health Center,Functional
Ukpolobia Primary Health Center,7.5761,7.63384,Kogi,Ankpa,primary,Primary Health Center,Functional
Ojogobi Primary Health Center,7.36219,7.60847,Kogi,Ankpa,primary,Primary Health Center,Functional
Inyologwu Primary Health Center,7.40366,7.70101,Kogi,Ankpa,primary,Primary Health Center,Functional
Odogomu Primary Health Center,7.45926,7.68015,Kogi,Ankpa,primary,Primary Health Center,Functional
Okpoku Primary Health Center,7.5059,7.74223,Kogi,Ankpa,primary,Primary Health Center,Functional
Okaba Primary Health Center,7.45973,7.73633,Kogi,Ankpa,primary,Primary Health Center,Functional
Ikanekpo Primary Health Center,7.44481,7.60567,Kogi,Ankpa,primary,Primary Health Center,Functional
Achele Primary Health Center,7.58421,7.71617,Kogi,Ankpa,primary,Primary Health Center,Functional
Amoke Primary Health Center,7.35577,7.65211,Kogi,Ankpa,primary,Primary Health Center,Functional
Akunu Primary Health Center,7.44307,7.70195,Kogi,Ankpa,primary,Primary Health Center,Functional
Ajobe Primary Health Center,7.42836,7.73356,Kogi,Ankpa,primary,Primary Health Center,Functional
Ofugo Primary Health Center,7.55978,7.63305,Kogi,Ankpa,primary,Primary Health Center,Functional
Ajitata Primary Health Center,7.54825,7.72297,Kogi,Ankpa,primary,Primary Health Center,Functional
Afor Gam Gam Primary Health Center,7.52102,7.66912,Kogi,Ankpa,primary,Primary Health Center,Functional
Olufobo Primary Health Center,7.54884,7.62747,Kogi,Ankpa,primary,Primary Health Center,Functional
Ogede Adekpa Primary Health Center,7.52702,7.73472,Kogi,Ankpa,primary,Primary Health Center,Functional
Ojede Primary Health Center,7.39237,7.621,Kogi,Ankpa,primary,Primary Health Center,Functional
Emabu Primary Health Center,7.47486,7.6659,Kogi,Ankpa,primary,Primary Health Center,Functional
Ankpa Family Support Programme Fsp,7.40398,7.63151,Kogi,Ankpa,primary,Primary Health Center,Functional
Ofugo Dispensary,7.56385,7.63527,Kogi,Ankpa,primary,Dispensary,Functional
Odagba Primary Health Center,7.49417,7.63239,Kogi,Ankpa,primary,Primary Health Center,Functional
Emabo Primary Health Center,7.50617,7.63706,Kogi,Ankpa,primary,Primary Health Center,Functional
Ogodo Primary Health Center,7.4025,7.57609,Kogi,Ankpa,primary,Primary Health Center,Functional
Enjema Primary Health Center,7.48601,7.6622,Kogi,Ankpa,primary,Primary Health Center,Functional
Agumagwu Primary Health Center,7.61928,7.62258,Kogi,Ankpa,primary,Primary Health Center,Functional
Uferane Primary Health Center,7.48116,7.50529,Kogi,Ankpa,primary,Primary Health Center,Functional
Umochina Primary Health Center,6.91734,7.18214,Kogi,Igalamela-Odolu,primary,Primary Health Center,Functional
Ollah Primary Health Center,6.95624,7.21173,Kogi,Igalamela-Odolu,primary,Primary Health Center,Functional
Alakwa Primary Health Center,7.02518,7.19615,Kogi,Igalamela-Odolu,primary,Primary Health Center,Functional
Ofokpeye Primary Health Center,7.04288,7.23121,Kogi,Igalamela-Odolu,primary,Primary Health Center,Functional
Ogene Zaria Primary Health Center,7.30032,7.34367,Kogi,Ofu,primary,Primary Health Center,Functional
Onichaigo Primary Health Center,7.3276,7.34921,Kogi,Ofu,primary,Primary Health Center,Functional
Ofante Ojone Primary Health Center,7.23354,7.25363,Kogi,Ofu,primary,Primary Health Center,Functional
Okula Primary Health Center,7.33613,7.2408,Kogi,Ofu,primary,Primary Health Center,Functional
Ogbageb Model Primary Health Center,7.30779,7.31013,Kogi,Ofu,primary,Primary Health Center,Functional
Ofabo Primary Health Care Center,7.26639,7.25228,Kogi,Ofu,primary,Primary Health Center,Functional
Allobi Cottage Hospital,7.33477,7.20859,Kogi,Ofu,secondary,Cottage Hospital,Functional
Adumu Ogugu Primary Health Center,7.18491,7.40955,Kogi,Olamaboro,primary,Primary Health Center,Functional
Ojamapunu Primary Health Center,7.24124,7.53172,Kogi,Olamaboro,primary,Primary Health Center,Functional
Ogene Ogugu Primary Health Center,7.14462,7.46823,Kogi,Olamaboro,primary,Primary Health Center,Functional
Emonyokwu Ogu Primary Health Center,7.1741,7.48484,Kogi,Olamaboro,primary,Primary Health Center,Functional
Ileke Primary Health Center,7.19997,7.44403,Kogi,Olamaboro,primary,Primary Health Center,Functional
Ayigba Ogugu Primary Health Center,7.18645,7.41264,Kogi,Olamaboro,primary,Primary Health Center,Functional
Ikem Ogugu Primary Health Center,7.20638,7.3679,Kogi,Olamaboro,primary,Primary Health Center,Functional
Ojamochebe Primary Health Center,7.22754,7.52516,Kogi,Olamaboro,primary,Primary Health Center,Functional
Okolododo Primary Health Center,7.26693,7.78716,Kogi,Olamaboro,primary,Primary Health Center,Functional
Efiwo Primary Health Center,7.75256,7.54484,Kogi,Omala,primary,Primary Health Center,Functional
Efabo Primary Health Center,7.25103,7.69412,Kogi,Olamaboro,primary,Primary Health Center,Functional
Ogugu Cottage Hospital,7.15564,7.47817,Kogi,Olamaboro,secondary,Cottage Hospital,Functional
Okpo Family Support Programme,7.21245,7.56043,Kogi,Olamaboro,primary,Primary Health Center,Functional
Ugbologidi Primary Health Center,7.24127,7.54894,Kogi,Olamaboro,primary,Primary Health Center,Functional
Emonoja Ogugu Primary Health Care,7.12154,7.48627,Kogi,Olamaboro,primary,Primary Health Center,Functional
Ojamakogwu Primary Health Care,7.25555,7.4991,Kogi,Olamaboro,primary,Primary Health Center,Functional
Ogbofe Primary Health Care,7.22598,7.42693,Kogi,Olamaboro,primary,Primary Health Center,Functional
Inwa Primary Health Care,7.23523,7.63121,Kogi,Olamaboro,primary,Primary Health Center,Functional
Otakuhi Primary Health Care,7.2506,7.60387,Kogi,Olamaboro,primary,Primary Health Center,Functional
Ogoh Primary Health Care,7.2486,7.52448,Kogi,Olamaboro,primary,Primary Health Center,Functional
Igoti Primary Health Care,7.25856,7.61608,Kogi,Olamaboro,primary,Primary Health Center,Functional
Emodu Primary Healthn Care,7.06354,7.55434,Kogi,Olamaboro,primary,Primary Health Center,Functional
Idekpa Primary Health Care,7.26426,7.76384,Kogi,Olamaboro,primary,Primary Health Center,Functional
Mabenyi Efoko Primary Health Care,7.25708,7.65444,Kogi,Olamaboro,primary,Primary Health Center,Functional
Mabenyi Ododa Primary,7.24634,7.65706,Kogi,Olamaboro,primary,Primary Health Center,Functional
Adumagaliga Primary Health Care,7.21106,7.65589,Kogi,Olamaboro,primary,Primary Health Center,Functional
Akpoli Primary Health Care,7.28828,7.7754,Kogi,Olamaboro,primary,Primary Health Center,Functional
Ogenago Primary Health Care,7.26767,7.72423,Kogi,Olamaboro,primary,Primary Health Center,Functional
Icheke Ajocholi Primary Health Care,7.767,7.62398,Kogi,Omala,primary,Primary Health Center,Functional
Okwugba Primary Health Center,7.73234,7.61973,Kogi,Omala,primary,Primary Health Center,Functional
Olechu Primary Health Center,7.74486,7.50382,Kogi,Omala,primary,Primary Health Center,Functional
Icheke Ogane Primary Health Center,7.78531,7.62084,Kogi,Omala,primary,Primary Health Center,Functional
Otih 3 Primary Health Center,7.71651,7.6695,Kogi,Omala,primary,Primary Health Center,Functional
Olla Primary Health Center,7.55961,7.4682,Kogi,Omala,primary,Primary Health Center,Functional
Otokpachi Achegba Primary Health Care,7.7565,7.64136,Kogi,Omala,primary,Primary Health Center,Functional
Ojiaji Primary Health Center,7.6131,7.49244,Kogi,Omala,primary,Primary Health Center,Functional
Ofejiji Primary Health Care,7.76585,7.44286,Kogi,Omala,primary,Primary Health Center,Functional
Ogodu Primary Health Center,7.59518,7.47867,Kogi,Omala,primary,Primary Health Center,Functional
Akpacha Primary Health Center,7.70764,7.54453,Kogi,Omala,primary,Primary Health Center,Functional
Igaliwo Primary Health Center,7.68268,7.59857,Kogi,Omala,primary,Primary Health Center,Functional
Ikefi Primary Health Center,7.70654,7.5856,Kogi,Omala,primary,Primary Health Center,Functional
Otih 1 Primary Health Center,7.71794,7.6291,Kogi,Omala,primary,Primary Health Center,Functional
Kaduna Primary Health Center,7.73808,7.55364,Kogi,Omala,primary,Primary Health Center,Functional
Kekure Primary Health Care,7.9403,7.19872,Kogi,Bassa,primary,Primary Health Center,Functional
Paruwa Primary Health Care,7.9171,7.20829,Kogi,Bassa,primary,Primary Health Center,Functional
Inigu Omono Primary Health Care,7.93548,7.23927,Kogi,Bassa,primary,Primary Health Center,Functional
Ikende Primary Health Care,7.9975,7.32108,Kogi,Bassa,primary,Primary Health Center,Functional
Ozugbe Primary Health Care,7.9829,7.27158,Kogi,Bassa,primary,Primary Health Center,Functional
Karukwo Primary Health Care,7.93665,7.26287,Kogi,Bassa,primary,Primary Health Center,Functional
Okpatala Primary Health Center,7.9484,7.55688,Kogi,Omala,primary,Primary Health Center,Functional
Idrisu Primary Health Center,7.96464,7.54658,Kogi,Omala,primary,Primary Health Center,Functional
Bagana Primary Health Center,8.0246982391,7.59171690053,Kogi,Omala,primary,Primary Health Center,Functional
Omagede Otutubatu Primary Health Care,8.01516,7.63434,Kogi,Omala,primary,Primary Health Center,Functional
Ogba Community Cottage Hospital,8.02649478883,7.56413126702,Kogi,Omala,secondary,Cottage Hospital,Functional
Agojeju Odo Primary Health Center,7.93246,7.6456,Kogi,Omala,primary,Primary Health Center,Functional
Esule Primary Health Care,7.90459,7.15793,Kogi,Bassa,primary,Primary Health Center,Functional
Ma Model Primary Health Care Center,8.27392,5.78835,Kogi,Yagba East,primary,Primary Health Center,Functional
Zenyi Primary Health Care,7.97223,7.36214,Kogi,Bassa,primary,Primary Health Center,Functional
Obakume Primary Health Center,7.92772,7.51793,Kogi,Omala,primary,Primary Health Center,Functional
Olla Primary Health Center,8.20958,5.17978,Kwara,Isin,primary,Primary Health Center,Functional
Agara Primary Health Center,8.15498,4.61232,Kwara,Oyun,primary,Primary Health Center,Functional
Oko Health Center,8.16001,5.16838,Kwara,Irepodun,primary,Primary Health Center,Functional
Ojoku Dispensary,8.25119,4.6628,Kwara,Oyun,primary,Dispensary,Functional
Iponrin Maternity and Dispensary,8.6395,4.8463,Kwara,Ilorin East,primary,Maternity Home,Functional
Marafa Dispensary and Maternity Maraf,8.63404,4.88983,Kwara,Ilorin East,primary,Maternity Home,Functional
Okelele Health Center,8.51264,4.54324,Kwara,Ilorin East,primary,Primary Health Center,Functional
Emirs Palace Clinic,8.49562,4.54911,Kwara,Ilorin East,primary,Primary Health Center,Functional
Ajikobi Cottage Hospital,8.50293,4.52868,Kwara,Ilorin West,secondary,Cottage Hospital,Functional
Ajasse Po Primary Health Center,8.25247,4.80641,Kwara,Irepodun,primary,Primary Health Center,Functional
Ijan Otun Primary Health Center,8.18127,4.92369,Kwara,Irepodun,primary,Primary Health Center,Functional
Agbamu Primary Health Center,8.11867,4.86943,Kwara,Irepodun,primary,Primary Health Center,Functional
Sanmora Primary Health Center,8.22916,4.83586,Kwara,Irepodun,primary,Primary Health Center,Functional
Agbele Health Center,8.16472,4.9144,Kwara,Irepodun,primary,Primary Health Center,Functional
Ogbonda Cottage Hospital,8.13007,4.92853,Kwara,Irepodun,secondary,Cottage Hospital,Functional
Esie Primary Health Center,8.21263,4.89778,Kwara,Irepodun,primary,Primary Health Center,Functional
Oko Ayorinde Anu Dispensary and Maternity,8.23277,4.87999,Kwara,Irepodun,primary,Maternity Home,Functional
Ilala Health Center,8.32086,4.82805,Kwara,Irepodun,primary,Primary Health Center,Functional
Edidi Cottage Hospital,8.23255,4.94217,Kwara,Isin,secondary,Cottage Hospital,Functional
Ajegunle Primary Health Care,8.16467,4.61839,Kwara,Oyun,primary,Primary Health Center,Functional
Ira Basic Health Center,8.08593,4.59726,Kwara,Oyun,primary,Primary Health Center,Functional
Ikotun Basic Health Center,8.22858,4.61822,Kwara,Oyun,primary,Primary Health Center,Functional
Ahogbada Basic Health Center,8.09514,4.54118,Kwara,Oyun,primary,Primary Health Center,Functional
Igbonna Cottage Hospital,8.18891,4.6071,Kwara,Oyun,secondary,Cottage Hospital,Functional
Ojoku Health Center,8.25558,4.65473,Kwara,Oyun,primary,Primary Health Center,Functional
Gudugba Primary Health Center,8.20146,4.59837,Kwara,Oyun,primary,Primary Health Center,Functional
Farokun Omede Basic Health Center,8.2299,4.63219,Kwara,Oyun,primary,Primary Health Center,Functional
Bolorunduro Basic Health Center,8.16839,4.64905,Kwara,Oyun,primary,Primary Health Center,Functional
Owa Onire Health Post,8.30463,5.10466,Kwara,Isin,primary,Dispensary,Functional
Owode Primary Health Center,8.16928,4.97551,Kwara,Irepodun,primary,Primary Health Center,Functional
Pamo Health Center,8.29206,5.03772,Kwara,Isin,primary,Primary Health Center,Functional
Ehinafo Health Post,8.21254,5.28648,Kwara,Oke Ero,primary,Dispensary,Functional
Ekanmeje Basic Health Center,8.07523,5.09095,Kwara,Oke Ero,primary,Primary Health Center,Functional
Idofin Ayekale Health Post,8.22142,5.29448,Kwara,Oke Ero,primary,Dispensary,Functional
Oteu Primary Health Care Center,8.06769,4.97098,Kwara,Irepodun,primary,Primary Health Center,Functional
Okoloke Basic Health Center,8.4345,5.46201,Kogi,Yagba West,primary,Primary Health Center,Functional
Upogoro Basic Health Center,7.5285,6.2356,Kogi,Okene,primary,Primary Health Center,Functional
Girinya Basic Health Center,8.24614,6.74398,Kogi,Kogi,primary,Primary Health Center,Functional
Ibado Akpacha Primary Health Center,7.7214,7.56428,Kogi,Omala,primary,Primary Health Center,Functional
Oke Ola Oro Primary Health Center,8.22859,4.88595,Kwara,Irepodun,primary,Primary Health Center,Functional
Ilemon Basic Health Center,8.10807,4.65936,Kwara,Oyun,primary,Primary Health Center,Functional
Arandun Primary Health Center,8.0924,4.95119,Kwara,Irepodun,primary,Primary Health Center,Functional
Oke Onigbin Basic Health Center,8.22346,4.99762,Kwara,Isin,primary,Primary Health Center,Functional
Awhum Dispensary,6.52646166667,7.40717333333,Enugu,Udi,primary,Dispensary,Functional
Oduma Achara Health Center,6.093445,7.59424333333,Enugu,Aninri,primary,Primary Health Center,Functional
Psychiatric Hospital,6.36081,5.62035,Edo,Egor,primary,Primary Health Center,Functional
Uwelu Primary Health Center,6.38576,5.58315,Edo,Egor,primary,Primary Health Center,Functional
Urban Primary Health Center,6.33581,5.63072,Edo,Oredo,primary,Primary Health Center,Functional
Obeidu Primary Health Center,6.73637,6.26989,Edo,Esan North-East,primary,Primary Health Center,Functional
Asurie Health Center,6.53796,7.9505,Ebonyi,Ohaukwu,primary,Primary Health Center,Functional
Obada Health Center,7.459025,5.34912333333,Ekiti,Ise/Orun,primary,Primary Health Center,Functional
Osun Primary Health Care Center,7.98263833333,5.09318666667,Ekiti,Moba,primary,Primary Health Center,Functional
Kembu Model Primary Healthcare and Maternity,10.045330023,11.2952797889,Gombe,Akko,primary,Maternity Home,Functional
Isinbode Comprehensive Health Center,7.68316666667,5.62450166667,Ekiti,Ekiti East,primary,Comprehensive Health Center,Functional
Lule Sango Dispensary,10.77151667,10.58762,Gombe,Dukku,primary,Dispensary,Functional
Liji Primary Health Care Center,10.2804085942,11.2318590573,Gombe,Yamaltu/Deba,primary,Primary Health Center,Functional
Asa Oriokuta Health Post,7.57732833333,5.05078333333,Ekiti,Ekiti West,primary,Dispensary,Functional
Ikogosi Health Center,7.58953166667,4.99242666667,Ekiti,Ekiti West,primary,Primary Health Center,Functional
Olorunda Health Center,7.66739166667,5.21917166667,Ekiti,Ado-Ekiti,primary,Primary Health Center,Functional
Ara Community Health Center Ara Ekiti,7.76921166667,5.10815333333,Ekiti,Ijero,primary,Primary Health Center,Functional
Ajeje 2 Basic Health Center,7.80589333333,4.997985,Ekiti,Ijero,primary,Primary Health Center,Functional
Local Government Basic Health Center Housing Estate,7.64281833333,5.24015833333,Ekiti,Ado-Ekiti,primary,Primary Health Center,Functional
Kajola Health Post,7.65845333333,5.0582,Ekiti,Ekiti West,primary,Dispensary,Functional
Aba Oyo Health Center,7.75861333333,5.45092,Ekiti,Ikole,primary,Primary Health Center,Functional
Igbemo Ekiti Comprehensive Health Center,7.68897333333,5.39343833333,Ekiti,Irepodun/Ifelodun,primary,Comprehensive Health Center,Functional
Ikunararomi Basic Health Center,7.78950166667,5.71234666667,Ekiti,Ekiti East,primary,Primary Health Center,Functional
Iwaji Basic Health Center,7.63108833333,4.94030166667,Ekiti,Efon,primary,Primary Health Center,Functional
Ikun Comprehensive Health Center,7.99950833333,5.20425166667,Ekiti,Moba,primary,Comprehensive Health Center,Functional
Oke Ya Comprehensive Health Center,7.46071833333,5.43148666667,Ekiti,Ise/Orun,primary,Comprehensive Health Center,Functional
Epe Primary Health Care Center,7.98633333333,5.097975,Ekiti,Moba,primary,Primary Health Center,Functional
Ikoro Comprehensive Health Center,7.83650333333,5.02954,Ekiti,Ijero,primary,Comprehensive Health Center,Functional
Imesi Ekiti Comprehensive Health Center,7.561235,5.57330333333,Ekiti,Gbonyin,primary,Comprehensive Health Center,Functional
Odo Ese Comprehensive Health Center,7.81812833333,5.07098,Ekiti,Ijero,primary,Comprehensive Health Center,Functional
Babaorioke Health Center,7.93851333333,5.05143,Ekiti,Ijero,primary,Primary Health Center,Functional
Anifowose Basic Health Center,7.552915,5.47419166667,Ekiti,Gbonyin,primary,Primary Health Center,Functional
Bolorunduro Basic Health Center,7.62838666667,5.446535,Ekiti,Gbonyin,primary,Primary Health Center,Functional
Tugan Madaki Primary Health Care,9.02266375142,7.24519420259,Federal Capital Territory,Municipal Area Council,primary,Primary Health Center,Functional
Baruwa Primary Health Care Center,6.59376631973,3.26863283208,Lagos,Alimosho,primary,Primary Health Center,Functional
Ikenga Health Center,6.00813427472,7.04736241579,Anambra,Aguata,primary,Primary Health Center,Functional
Alingani Primary Health Center,8.71859298606,8.82955116575,Nasarawa,Lafia,primary,Primary Health Center,Functional
Aboki Clinic,8.57855465273,8.80594616575,Nasarawa,Lafia,primary,Private Non Profit,Functional
Abimiku Clinic,8.57635666667,8.80190166667,Nasarawa,Lafia,primary,Private Non Profit,Functional
Ezioba Primary Health Care,5.97523556153,7.30248747938,Abia,Umu-Nneochi,primary,Primary Health Center,Functional
Amuzu Primary Health Center,5.48725131973,7.42732949908,Abia,Umuahia South,primary,Primary Health Center,Functional
Akanu Okpulor Health Center,5.17996313689,7.49288757831,Abia,Obi Nwga,primary,Primary Health Center,Functional
Oba Ayetoro Basic Health Center,7.6802563194,4.88235283242,Osun,Oriade,primary,Primary Health Center,Functional
Dokoro Town Maternity Clinic,10.95803833,10.83059333,Gombe,Dukku,primary,Private Non Profit,Functional
Alele Health Center,7.702185,5.04573166667,Ekiti,Ekiti West,primary,Primary Health Center,Functional
Odeyemi Health Post,7.64977,5.06976166667,Ekiti,Ekiti West,primary,Dispensary,Functional
Isaja Health Center,7.65333833333,4.91810166667,Ekiti,Efon,primary,Primary Health Center,Functional
Efon Local Government Basic Health Center Iloro,7.65827833333,4.92139,Ekiti,Efon,primary,Primary Health Center,Functional
Odo Ayedun Comprehensive Health Center,7.81539666667,5.57462666667,Ekiti,Ikole,primary,Comprehensive Health Center,Functional
Child Welfare Clinic,7.439365,5.48679333333,Ekiti,Emure,primary,Primary Health Center,Functional
Ekiti West Local Government Basic Health Center,7.79781333333,4.958655,Ekiti,Ekiti West,primary,Primary Health Center,Functional
Oko Community Hospital and Maternity,6.03784564996,7.09264753929,Anambra,Aguata,primary,Maternity Home,Functional
Agbaja Health Post,6.1337390808,6.9392271902,Anambra,Idemili North,primary,Dispensary,Functional
Oraukwu Primary Health Center,6.09731469493,6.97274739612,Anambra,Anaocha,primary,Primary Health Center,Functional
Umuaro Primary Health Center,5.24272925672,7.47857437512,Abia,Isiala-Ngwa South,primary,Primary Health Center,Functional
Ngwa Niekwe Primary Health Center,4.97693465273,7.28186283208,Abia,Ukwa West,primary,Primary Health Center,Functional
Iju Health Center Lonlo,6.66114351047,3.32293508596,Lagos,Ifako/Ijaye,primary,Primary Health Center,Functional
Ologba Primary Health Care,7.61547,7.2279,Kogi,Dekina,primary,Primary Health Center,Functional
Kabba Maternal and Child Health Clinic,7.76851,6.1069,Kogi,Kabba/Bunu,primary,Primary Health Center,Functional
Anyigba Comprehensive Health Center,7.51292,7.16673,Kogi,Dekina,primary,Comprehensive Health Center,Functional
Onyebeg Comprehensive Health Center,6.88347,6.6771,Kogi,Ibaji,primary,Comprehensive Health Center,Functional
Iluhafon Primary Health Care Clinic,8.0548,6.14777,Kogi,Kabba/Bunu,primary,Primary Health Center,Functional
Gori Primary Health Care Clinic,8.09758,6.44493,Kogi,Kabba/Bunu,primary,Primary Health Center,Functional
Zambufu Comprehensive Health Center,8.78118,5.18092,Kwara,Edu,primary,Comprehensive Health Center,Functional
Babanlo Comprehensive Health Center,8.83774,4.84818,Kwara,Ifelodun,primary,Comprehensive Health Center,Functional
